Time,Comment,Scramble,Date
21.132350087165833,"",L' B2 L' U2 R' F2 R' F2 L2 B' L D' L2 R U' L2 D2 B' D2,2025-01-21 11:17:17 +0000
19.737166047096252,"",B' F2 D2 B L2 D2 U2 B' L B F2 U' F' U2 F L2 D' F2 D',2025-01-28 07:57:45 +0000
24.234676957130432,"",F2 D2 F' R' U' B2 L2 F2 L' B U2 D L2 F2 D' B2 D' F,2025-01-17 18:20:30 +0000
23.102277994155884,"",U F2 U2 B' L2 U R B' R D2 L2 B' D2 L2 B2 L2 F' U',2025-01-08 08:59:04 +0000
33.135794043540955,"",L2 B' D2 B' F2 D2 F' U2 L R U B R U L B' F' U2,2025-01-19 17:15:06 +0000
20.303153038024902,"",D2 L F L2 R2 D2 F R2 B F D2 R D F R B2 F L F,2025-01-21 14:03:54 +0000
19.200507044792175,"",L F2 U2 F D2 B F' L2 U' R D F D' L2 B U R D',2025-01-28 11:31:09 +0000
27.76526391506195,"",U2 B2 R2 B' L D' R' U B' U' L B' U2 R2 U2 R2 F D2 F',2025-01-19 11:31:57 +0000
19.86748206615448,"",R2 F2 R2 F D L2 U' B2 L2 D2 U' R2 U' F U2 R' F' L F U,2025-01-09 12:09:26 +0000
20.499667048454285,"",R' B' D' F2 L' B2 L2 R B2 L2 U L B2 L D' F' U' B2,2025-01-19 17:17:02 +0000
2.0302449464797974,"",U F2 L2 U L2 U' R' U' L R B' L2 F2 L' R2 D' F2 U',2025-01-21 16:21:06 +0000
21.634176015853882,"",B2 D' F2 R2 D' L2 D L' B2 U2 R2 D L F U' L' F2 R',2025-01-28 14:52:06 +0000
24.46905493736267,"",F R2 F2 U2 R2 F2 L' F2 R' D2 L' B' U L' B2 R' B U R',2025-01-10 12:04:16 +0000
22.936998963356018,"",U2 R' F2 U2 R2 F2 D2 R U2 F L2 F D L2 R F2 D B L F,2025-01-24 08:22:22 +0000
21.266049027442932,"",R2 B R F2 B D' F L R2 D' L2 D R2 D R2 D F2 D' L' U',2025-01-17 12:05:18 +0000
24.26220703125,"",F R' U B F2 U2 R' B2 R2 U2 L' F' L2 R2 F R' B R,2025-01-17 12:00:04 +0000
20.098750948905945,"",B R L F D F2 U' L' B2 R' B U2 B2 U D R2 D L2 U,2025-01-13 07:19:30 +0000
