,Time,Comment,Scramble,Date
94,21.1677520275116,,L F2 R2 B' L' D L U2 L B2 U' R2 F2 R D2 L2 B2 U2,2025-01-21 11:24:54 +0000
132,25.9126969575882,,U R' F2 D2 B U' F U' R2 L F2 B2 R' B2 D2 F' R U',2025-01-21 14:02:40 +0000
166,20.303153038024902,,D2 L F L2 R2 D2 F R2 B F D2 R D F R B2 F L F,2025-01-21 14:03:54 +0000
199,31.49571204185486,,B2 U' B2 D2 L2 D2 L2 F2 U B U R D' B R F' D' U,2025-01-21 16:00:30 +0000
240,18.43050992488861,,B U' R D2 U2 F' D2 R2 D2 B' D2 R B2 D' U' R' F2 R D,2025-01-21 16:02:33 +0000
274,21.361467003822327,,F B2 L' B2 D' R2 L2 B2 U2 F' D B' D2 F2 D2 R2 F' U2 D2,2025-01-21 16:05:04 +0000
23,26.46321702003479,,D' B' L' U2 B' R2 D R D2 B D F2 D B2 U' F2 U2 L2 B2,2025-01-21 16:13:12 +0000
57,29.95991003513336,,D2 F2 D2 R2 D2 F' L2 F R2 L' B' D2 F' U' F2 D B2 L F',2025-01-21 16:15:57 +0000
99,19.53251302242279,,U L2 F' U F' R' D2 B D' F' U2 L' U2 R' F2 U2 B2 U2 L2 F2,2025-01-21 16:17:48 +0000
135,22.63548004627228,,D R2 D2 U' R2 D L2 R2 B U' R' F2 D L' F' L B' D,2025-01-21 16:19:57 +0000
171,2.0302449464797974,,U F2 L2 U L2 U' R' U' L R B' L2 F2 L' R2 D' F2 U',2025-01-21 16:21:06 +0000
203,19.82372200489044,,U' D' L2 B' R2 F' L U2 F2 B2 R' D R2 F2 D R2 U D',2025-01-21 16:23:52 +0000
244,24.287230968475345,,R2 D2 B U2 F' R U' F' R' F2 L2 F2 B2 D2 F2 L' F2 U,2025-01-21 16:26:44 +0000
277,30.468890070915226,,U R2 U2 R B2 R F2 L R2 U L R F D2 B' L' F2 U,2025-01-23 09:02:47 +0000
28,24.8252090215683,,L2 D' F2 L2 D2 F' R' F2 D2 R' B2 U' R' B' D' L' R2,2025-01-23 12:03:16 +0000
61,28.56919300556183,,F' R B2 R' F2 R2 B2 U F L2 F' L' U L F2 U2 L2,2025-01-23 12:05:27 +0000
103,28.634699940681458,,R U2 R' D2 R2 F2 U2 L B2 D' F' R B' U2 F2 D2 U R D' F',2025-01-24 08:19:55 +0000
138,24.0535409450531,,R2 B2 R2 B2 D2 F' R2 F2 D R F' L U' R' F' L' B' U2 L2,2025-01-24 08:21:01 +0000
174,22.936998963356015,,U2 R' F2 U2 R2 F2 D2 R U2 F L2 F D L2 R F2 D B L F,2025-01-24 08:22:22 +0000
